time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:46,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.3,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:22:41,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.3,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:24:36,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.24,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:26:32,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.24,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:28:27,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.24,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:30:22,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.24,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:32:21,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.22,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:34:16,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.22,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:36:11,Dong Nai-Long Khanh,Long Khanh,23.93,23.93,23.93,95.0,24.86,10000.0,0.24,98.0,1.31,3.61,274.0,1008.0,0,500,Rain,light rain,10n
2025-07-18 01:38:06,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.2,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:40:01,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.22,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:41:59,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.2,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:43:53,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.12,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:45:49,Dong Nai-Long Khanh,Long Khanh,24.69,24.69,24.69,94.0,25.67,10000.0,0.2,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:47:46,Dong Nai-Long Khanh,Long Khanh,24.64,24.64,24.64,94.0,25.61,10000.0,0.14,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:49:41,Dong Nai-Long Khanh,Long Khanh,24.64,24.64,24.64,94.0,25.61,10000.0,0.13,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
2025-07-18 01:51:36,Dong Nai-Long Khanh,Long Khanh,24.64,24.64,24.64,94.0,25.61,10000.0,0.13,100.0,1.38,3.81,283.0,1007.0,0,500,Rain,light rain,10n
