time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:43,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:22:38,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:24:33,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:26:28,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:28:25,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:30:20,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:32:15,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:34:13,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:36:08,Dien Bien,Dien Bien Phu,22.11,22.11,22.11,99.0,22.96,10000.0,0.0,25.0,0.82,0.8,228.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:38:03,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:39:59,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:41:57,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:43:51,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:45:46,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:47:41,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:49:38,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:51:33,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-07-18 01:53:28,Dien Bien,Dien Bien Phu,22.08,22.08,22.08,99.0,22.93,10000.0,0.0,90.0,0.94,0.92,236.0,1006.0,0,804,Clouds,overcast clouds,04n
