time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-07-18 01:20:43,Yen Bai,Yen Bai,27.17,27.17,27.17,90.0,31.22,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:22:39,Yen Bai,Yen Bai,27.17,27.17,27.17,90.0,31.22,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:24:33,Yen Bai,Yen Bai,27.17,27.17,27.17,90.0,31.22,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:26:28,Yen Bai,Yen Bai,27.05,27.05,27.05,88.0,30.66,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:28:25,Yen Bai,Yen Bai,27.05,27.05,27.05,88.0,30.66,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:30:20,Yen Bai,Yen Bai,27.05,27.05,27.05,88.0,30.66,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:32:15,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:34:14,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:36:08,Yen Bai,Yen Bai,27.05,27.05,27.05,88.0,30.66,10000.0,0.0,45.0,0.88,0.74,246.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:38:03,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:39:59,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:41:57,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:43:51,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:45:46,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:47:41,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:49:38,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:51:33,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:53:28,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:55:22,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:57:17,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 01:59:12,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:02:58,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:04:54,Yen Bai,Yen Bai,26.73,26.73,26.73,89.0,29.89,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:06:49,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:08:47,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:10:43,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:12:38,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:14:33,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:16:28,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:18:23,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:20:20,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:22:14,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:24:08,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:26:03,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:28:00,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-07-18 02:29:54,Yen Bai,Yen Bai,26.74,26.74,26.74,89.0,29.92,10000.0,0.0,34.0,0.82,0.67,254.0,1002.0,0,802,Clouds,scattered clouds,03n
