time,province,city,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-06-29 23:29:18,Lang Son,Lang Son,24.1,24.1,24.1,97.0,25.1,10000.0,0.0,100.0,1.37,2.14,134.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:29:20,Lang Son,Lang Son,24.1,24.1,24.1,97.0,25.1,10000.0,0.0,100.0,1.37,2.14,134.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:30:26,Lang Son,Lang Son,24.1,24.1,24.1,97.0,25.1,10000.0,0.0,100.0,1.37,2.14,134.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:30:28,Lang Son,Lang Son,24.1,24.1,24.1,97.0,25.1,10000.0,0.0,100.0,1.37,2.14,134.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:32:53,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:32:56,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:34:56,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:34:58,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:36:58,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:37:00,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:39:01,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:39:05,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:41:06,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:41:09,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:43:11,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:43:16,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:45:20,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:45:22,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:47:23,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:47:25,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:49:24,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:49:27,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:51:25,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:51:28,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:53:26,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:53:28,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:55:27,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-06-29 23:55:30,Lang Son,Lang Son,24.07,24.07,24.07,98.0,25.09,10000.0,0.0,100.0,1.52,2.73,144.0,1003.0,0,804,Clouds,overcast clouds,04n
